category,state,jobs_retained,total_loan_amount
Other Vegetable (except Potato) and Melon Farming,MN,156,549286.41
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,OK,61,549170.50
Saw Blade and Handtool Manufacturing,NJ,45,549145.00
Office Equipment Merchant Wholesalers,MI,41,549118.32
Farm Labor Contractors and Crew Leaders,CO,52,548974.59
Consumer Electronics Repair and Maintenance,SC,58,548763.09
"Other Direct Insurance (except Life, Health, and Medical) Carriers",TN,49,548753.42
"Data Processing, Hosting, and Related Services",RI,47,548673.22
Sporting and Recreational Goods and Supplies Merchant Wholesalers,ME,79,548574.51
Blind and Shade Manufacturing,CO,46,548532.00
Passenger Car Rental,LA,82,548524.67
"Motorcycle, Bicycle, and Parts Manufacturing",WA,23,548314.48
Home and Garden Equipment Repair and Maintenance,ID,97,548178.09
Construction Machinery Manufacturing,ID,48,548004.55
Saw Blade and Handtool Manufacturing,MN,70,547962.00
Media Representatives,NV,42,547955.57
Upholstered Household Furniture Manufacturing,WI,78,547913.00
Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,AR,41,547864.40
Postal Service,NY,76,547832.00
Tax Preparation Services,VT,59,547767.78
Used Household and Office Goods Moving,HI,65,547689.50
"Colleges, Universities, and Professional Schools",MI,53,547668.75
Other Marine Fishing,OR,69,547628.77
Other Support Activities for Air Transportation,UT,63,547511.00
Offices of Other Holding Companies,WY,46,547475.00
Semiconductor Machinery Manufacturing,TX,22,547379.00
All Other Miscellaneous Schools and Instruction,WV,90,547351.19
Farm Labor Contractors and Crew Leaders,GA,58,547311.47
Nursery and Tree Production,AR,96,547183.85
Animal (except Poultry) Slaughtering,PA,69,547053.00
Horses and Other Equine Production,AZ,99,547045.78
Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,MS,58,547017.70
Cut Stone and Stone Product Manufacturing,NH,51,546992.00
Other Performing Arts Companies,NM,230,546977.53
Radio Networks,MO,56,546968.54
"Corporate, Subsidiary, and Regional Managing Offices",AL,60,546943.39
"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",FL,75,546912.04
Siding Contractors,AR,100,546900.22
Administration of Veterans' Affairs,TX,116,546894.49
Professional and Management Development Training,HI,31,546886.32
General Rental Centers,KS,75,546840.20
Nail Salons,SD,66,546827.52
Mobile Food Services,KS,109,546789.77
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",OH,107,546703.00
Metal Tank (Heavy Gauge) Manufacturing,CA,50,546635.00
Other Technical and Trade Schools,AL,65,546515.80
Musical Groups and Artists,KY,359,546495.85
Testing Laboratories,DE,32,546477.00
Sports Teams and Clubs,NH,247,546476.00
Direct Mail Advertising,MN,46,546468.00
Cutting Tool and Machine Tool Accessory Manufacturing,MN,54,546445.00
Custom Architectural Woodwork and Millwork Manufacturing,AL,91,546385.82
Miscellaneous Financial Investment Activities,ME,36,546353.88
Nature Parks and Other Similar Institutions,MO,141,546204.47
"Scenic and Sightseeing Transportation, Water",MA,83,546167.52
Formal Wear and Costume Rental,NC,120,546059.00
All Other Miscellaneous Store Retailers (except Tobacco Stores),VI,88,546053.98
Water Supply and Irrigation Systems,WV,76,546049.50
Direct Health and Medical Insurance Carriers,HI,62,546029.00
Document Preparation Services,IN,84,546009.63
"Cut Stock, Resawing Lumber, and Planing",IL,78,545942.58
Home and Garden Equipment Repair and Maintenance,NE,77,545851.52
Stationery and Office Supplies Merchant Wholesalers,UT,83,545753.00
Public Finance Activities,OH,39,545586.50
Timber Tract Operations,WI,50,545538.00
Other Aircraft Parts and Auxiliary Equipment Manufacturing,NY,47,545494.40
"Independent Artists, Writers, and Performers",SD,87,545294.65
"Promoters of Performing Arts, Sports, and Similar Events with Facilities",OK,119,545284.22
Building Inspection Services,NE,55,545276.50
Drilling Oil and Gas Wells,NV,42,545208.00
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,AZ,61,545125.50
Motion Picture and Video Distribution,TN,54,545020.00
Water Supply and Irrigation Systems,RI,29,544759.00
Consumer Lending,WI,51,544652.45
Metal Window and Door Manufacturing,SC,59,544594.50
Surgical Appliance and Supplies Manufacturing,MD,62,544513.00
Solar Electric Power Generation,VA,49,544401.00
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",LA,56,544254.74
Family Clothing Stores,ID,106,544215.49
Cutting Tool and Machine Tool Accessory Manufacturing,SC,41,544202.00
Temporary Help Services,HI,278,544176.00
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,TN,34,544165.70
Diet and Weight Reducing Centers,CT,77,544025.16
Consumer Electronics and Appliances Rental,MI,84,544019.50
Music Publishers,PA,47,544019.50
Commercial Screen Printing,VT,70,544012.69
All Other General Merchandise Stores,KS,124,544011.01
Software Publishers,HI,17,544006.08
Motion Picture and Video Distribution,NC,78,543888.00
Flat Glass Manufacturing,PA,70,543759.50
Skiing Facilities,MI,120,543741.17
Oil and Gas Pipeline and Related Structures Construction,MI,35,543699.50
"Motorcycle, Bicycle, and Parts Manufacturing",TX,52,543648.70
Ornamental and Architectural Metal Work Manufacturing,OH,64,543640.67
Musical Instrument Manufacturing,TX,105,543563.36
Administration of Veterans' Affairs,PA,135,543547.00
Outdoor Advertising,OK,76,543522.14
Solid Waste Collection,NV,98,543511.00
Other Business Service Centers (including Copy Shops),MS,75,543492.85
Upholstered Household Furniture Manufacturing,TN,66,543480.50
Parking Lots and Garages,MO,93,543257.00
Ready-Mix Concrete Manufacturing,AZ,75,543256.08
Household Appliance Stores,ND,62,543238.75
Adhesive Manufacturing,PA,44,543226.00
Grain and Field Bean Merchant Wholesalers,KY,90,543110.00
Nonupholstered Wood Household Furniture Manufacturing,MT,70,543062.50
Residential Mental Health and Substance Abuse Facilities,MS,100,542922.09
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",PA,185,542917.00
Real Estate Credit,CT,39,542910.72
Other Automotive Mechanical and Electrical Repair and Maintenance,RI,34,542875.57
Dental Equipment and Supplies Manufacturing,CT,62,542837.49
General Rental Centers,WI,124,542787.00
Plastics Plumbing Fixture Manufacturing,FL,48,542670.52
Grain and Field Bean Merchant Wholesalers,AR,32,542587.32
Media Buying Agencies,IL,42,542572.00
Other Construction Material Merchant Wholesalers,KY,68,542562.46
Paint and Wallpaper Stores,WA,49,542549.75
Research and Development in Nanotechnology,NJ,49,542509.00
Meat and Meat Product Merchant Wholesalers,MD,41,542456.91
Other Cut and Sew Apparel Manufacturing,MA,50,542345.66
Specialty (except Psychiatric and Substance Abuse) Hospitals,OH,66,542300.10
Petroleum Bulk Stations and Terminals,AL,72,542271.02
"Other Direct Insurance (except Life, Health, and Medical) Carriers",SC,53,542154.00
Other Automotive Mechanical and Electrical Repair and Maintenance,DE,45,542147.49
Department Stores,GA,104,542122.37
Professional Employer Organizations,MO,62,542067.00
Direct Title Insurance Carriers,NC,47,542057.00
Recreational Goods Rental,MI,191,542043.82
Offices of Notaries,FL,55,542042.32
"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",FL,42,542041.00
Barber Shops,WV,96,542007.35
Nonscheduled Chartered Passenger Air Transportation,WI,63,542000.00
Horses and Other Equine Production,ID,130,541980.00
Recyclable Material Merchant Wholesalers,NV,299,541872.00
Solid Waste Collection,HI,48,541801.67
Solid Waste Collection,AK,53,541700.71
Outdoor Advertising,MA,32,541556.00
Saw Blade and Handtool Manufacturing,GA,67,541525.00
Other Airport Operations,SC,64,541392.32
Pharmaceutical Preparation Manufacturing,MO,43,541364.00
Plate Work Manufacturing,NE,49,541304.52
Prefabricated Wood Building Manufacturing,OH,57,541254.20
Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,OK,69,541162.00
Other Noncitrus Fruit Farming,UT,935,541130.00
Welding and Soldering Equipment Manufacturing,MS,89,540840.09
Convention and Trade Show Organizers,MS,66,540812.50
Electric Lamp Bulb and Part Manufacturing,FL,43,540793.47
Structural Steel and Precast Concrete Contractors,LA,56,540663.70
Outdoor Advertising,SC,53,540663.30
"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",CA,40,540552.00
Lessors of Miniwarehouses and Self-Storage Units,PR,97,540500.00
Bed-and-Breakfast Inns,IN,88,540448.50
Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,MI,41,540435.50
"Doll, Toy, and Game Manufacturing",GA,51,540425.00
Direct Life Insurance Carriers,KY,60,540279.45
Locksmiths,OK,79,540112.50
Computer Facilities Management Services,UT,43,540105.55
Hardware Merchant Wholesalers,KY,76,540049.75
Television Broadcasting,NJ,49,540049.47
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,OR,170,540029.38
Human Rights Organizations,OR,39,540017.28
Theater Companies and Dinner Theaters,IA,226,539948.52
Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,NY,28,539922.50
Children's and Infants' Clothing Stores,IL,158,539865.98
Home and Garden Equipment Repair and Maintenance,MA,67,539847.80
Temporary Shelters,OK,118,539824.60
Farm Machinery and Equipment Manufacturing,NY,53,539728.00
"Electroplating, Plating, Polishing, Anodizing, and Coloring",OR,45,539649.75
Skiing Facilities,MT,168,539644.85
Fats and Oils Refining and Blending,TX,46,539622.00
Metal Tank (Heavy Gauge) Manufacturing,OK,53,539598.00
Air and Gas Compressor Manufacturing,NY,51,539560.00
Limited-Service Restaurants,VI,195,539482.62
Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ID,38,539297.50
Farm Management Services,LA,68,539265.22
Amusement Arcades,AZ,138,539209.14
Electronics Stores,DE,52,539202.34
Other Fabricated Wire Product Manufacturing,FL,59,539132.00
Drafting Services,CO,44,539108.67
Real Estate Credit,NV,144,539099.00
Motor Vehicle Body Manufacturing,GA,57,539064.12
Packing and Crating,MA,102,538973.75
Court Reporting and Stenotype Services,MO,51,538938.33
Sawmills,WA,77,538925.00
Bowling Centers,WV,163,538716.00
Dog and Cat Food Manufacturing,IL,48,538649.50
Industrial Supplies Merchant Wholesalers,HI,50,538632.00
Food (Health) Supplement Stores,IA,59,538563.17
Meat Markets,AR,103,538536.32
Jewelry Stores,DC,50,538487.75
General Warehousing and Storage,ID,50,538460.85
"Photography Studios, Portrait",ID,93,538427.49
Institutional Furniture Manufacturing,MO,68,538420.00
Crude Petroleum Extraction ,AR,50,538418.83
Women's Clothing Stores,DE,102,538385.62
Ship Building and Repairing,NC,41,538365.69
Libraries and Archives,VT,102,538200.62
"Environment, Conservation and Wildlife Organizations",NV,86,538158.83
Television Broadcasting,MD,47,538025.00
Pet and Pet Supplies Stores,ID,106,537980.39
Footwear and Leather Goods Repair,VA,74,537942.82
Cut Stone and Stone Product Manufacturing,NE,61,537857.95
"Environment, Conservation and Wildlife Organizations",UT,76,537840.37
Commodity Contracts Brokerage,KS,45,537822.49
Meat Markets,AL,103,537760.45
Executive Offices,GA,118,537696.93
Distilleries,SC,56,537465.34
Direct Property and Casualty Insurance Carriers,ME,61,537400.45
Other Farm Product Raw Material Merchant Wholesalers,AZ,61,537369.00
Industrial Valve Manufacturing,WI,52,537351.97
Medicinal and Botanical Manufacturing,TN,50,537143.50
Public Finance Activities,NJ,46,537015.00
Machine Tool Manufacturing,AL,49,536940.10
Linen Supply,IL,82,536930.00
Consumer Electronics Repair and Maintenance,CT,71,536831.57
Dairy Cattle and Milk Production,NJ,82,536811.75
Industrial Building Construction,AK,45,536679.15
"Promoters of Performing Arts, Sports, and Similar Events without Facilities",NH,57,536629.20
Other Commercial Equipment Merchant Wholesalers,WV,65,536441.00
"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",NJ,43,536436.52
"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",AL,60,536399.77
Emergency and Other Relief Services,OR,99,536386.52
Other Chemical and Allied Products Merchant Wholesalers,MD,28,536352.00
Household Appliance Stores,HI,51,536350.50
Men's Clothing Stores,NV,326,536330.34
Family Clothing Stores,MT,149,536184.07
Welding and Soldering Equipment Manufacturing,MT,74,536178.20
All Other Publishers,IN,73,536169.00
Prefabricated Metal Building and Component Manufacturing,IN,75,536134.69
Ship Building and Repairing,ME,89,536099.92
Fresh Fruit and Vegetable Merchant Wholesalers,PR,159,536023.00
"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",MA,40,535965.75
"Other Aluminum Rolling, Drawing, and Extruding",CA,81,535956.00
Mining Machinery and Equipment Manufacturing,CA,42,535734.42
Other Vegetable (except Potato) and Melon Farming,LA,43,535680.00
Prefabricated Wood Building Manufacturing,SC,69,535655.00
Motor Vehicle Parts (Used) Merchant Wholesalers,AZ,138,535585.39
Custom Architectural Woodwork and Millwork Manufacturing,KY,100,535583.67
Book Stores,PR,181,535437.00
Industrial Design Services,OR,21,535421.00
Health and Welfare Funds,PA,36,535306.65
Nursery and Tree Production,KS,79,535214.77
"Book, Periodical, and Newspaper Merchant Wholesalers",MN,80,535209.62
Dairy Product (except Dried or Canned) Merchant Wholesalers,MI,70,535207.50
Wireless Telecommunications Carriers (except Satellite),IA,104,535079.75
Materials Recovery Facilities,AL,69,535056.56
Manufactured (Mobile) Home Dealers,IA,62,534978.00
Scale and Balance Manufacturing,CA,45,534977.60
Private Mail Centers,IN,90,534867.93
Other Direct Selling Establishments,DC,62,534859.25
Ice Manufacturing,PR,173,534816.77
Rubber Product Manufacturing for Mechanical Use,IL,65,534724.47
Nonferrous Metal Die-Casting Foundries,IL,45,534550.50
Other Chemical and Allied Products Merchant Wholesalers,DE,28,534537.50
Court Reporting and Stenotype Services,OK,66,534505.12
"Fastener, Button, Needle, and Pin Manufacturing",IL,75,534467.29
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",WI,121,534356.40
"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",AL,63,534327.52
Other Professional Equipment and Supplies Merchant Wholesalers,MO,66,534297.12
Educational Support Services,WY,70,534225.55
Oil and Gas Pipeline and Related Structures Construction,MA,13,534099.50
Other Industrial Machinery Manufacturing,IA,67,534044.59
Consumer Lending,MA,25,533731.00
"Photography Studios, Portrait",NH,34,533727.72
Other Poultry Production,GA,94,533718.93
Tour Operators,GU,121,533695.37
Nonchocolate Confectionery Manufacturing,OH,105,533686.65
Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,CT,68,533625.00
Saw Blade and Handtool Manufacturing,NC,49,533465.46
Support Activities for Printing,WA,36,533448.12
Motion Picture Theaters (except Drive-Ins),GA,182,533398.30
Art Dealers,ME,126,533371.07
Psychiatric and Substance Abuse Hospitals,MA,50,533361.62
"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",AZ,79,533345.00
Grantmaking Foundations,ID,190,533253.40
Farm Labor Contractors and Crew Leaders,KY,63,533245.30
Pharmaceutical Preparation Manufacturing,AR,73,533142.08
Convention and Trade Show Organizers,AL,55,533125.95
Tire and Tube Merchant Wholesalers,AL,53,533108.62
Aircraft Engine and Engine Parts Manufacturing,OH,41,533006.00
Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,KY,96,532918.87
Other Farm Product Raw Material Merchant Wholesalers,ND,57,532883.32
Marketing Research and Public Opinion Polling,ID,48,532858.49
Regulation and Administration of Transportation Programs,CA,51,532792.00
All Other Publishers,WI,61,532651.00
Commercial Screen Printing,NM,92,532623.48
Storage Battery Manufacturing,CA,113,532549.00
Coal and Other Mineral and Ore Merchant Wholesalers,CA,62,532486.65
